Jogador,Player,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
"Guillermo De los SantosCoritiba, 31, D(C)","180Guillermo De los SantosCoritiba, 31, D(C)",  ,8(2),677.0,1.2,1.3,0.3,0.3,3,0.3,0.8,-,6.64,"180Guillermo De los SantosCoritiba, 31, D(C)",  ,8(2),677.0,-,1,0.7,0.1,0.1,0.5,-,-,0.5,6.64,"180Guillermo De los SantosCoritiba, 31, D(C)",  ,8(2),677.0,1,0.1,32.4,78.7,-,3.7,-,6.64
"RonaldoAtletico GO, 25, GK","181RonaldoAtletico GO, 25, GK",  ,18,1620.0,0.2,-,-,0.1,0.8,-,-,-,6.64,"181RonaldoAtletico GO, 25, GK",  ,18,1620.0,-,-,-,0.1,-,0.1,-,-,-,6.64,"181RonaldoAtletico GO, 25, GK",  ,18,1620.0,-,0.1,22.7,74.5,-,5.2,-,6.64
"Ramon MenezesAtletico GO, 27, D(C),DMC","182Ramon MenezesAtletico GO, 27, D(C),DMC",  ,14,1260.0,0.5,1.1,0.7,0.1,3.6,0.4,0.5,-,6.63,"182Ramon MenezesAtletico GO, 27, D(C),DMC",  ,14,1260.0,-,-,0.4,0.1,-,-,-,0.1,0.1,6.63,"182Ramon MenezesAtletico GO, 27, D(C),DMC",  ,14,1260.0,-,0.1,51.5,90.7,-,4.1,-,6.63
"João RicardoCeara, 33, GK","183João RicardoCeara, 33, GK",  ,20,1800.0,0.1,-,-,-,0.9,0.1,-,-,6.63,"183João RicardoCeara, 33, GK",  ,20,1800.0,-,-,-,-,-,0.1,-,-,0.1,6.63,"183João RicardoCeara, 33, GK",  ,20,1800.0,-,-,25.9,66.5,-,6.7,-,6.63
"Nicolás HernándezAthletico Paranaense, 24, D(C)","184Nicolás HernándezAthletico Paranaense, 24, D(C)",  ,12(1),1104.0,1.1,1.2,0.6,0.3,3.2,0.2,0.8,-,6.63,"184Nicolás HernándezAthletico Paranaense, 24, D(C)",  ,12(1),1104.0,-,-,0.2,0.1,-,0.2,-,-,0.2,6.63,"184Nicolás HernándezAthletico Paranaense, 24, D(C)",  ,12(1),1104.0,-,0.1,34.9,83.9,-,3.2,-,6.63
"Vinícius SilvaGoias, 29, AM(LR),FW","185Vinícius SilvaGoias, 29, AM(LR),FW",  ,10(3),953.0,0.8,0.6,0.5,0.2,0.5,0.9,0.2,-,6.62,"185Vinícius SilvaGoias, 29, AM(LR),FW",  ,10(3),953.0,-,2,1.5,1.4,1.5,0.8,0.3,0.8,1.7,6.62,"185Vinícius SilvaGoias, 29, AM(LR),FW",  ,10(3),953.0,2,1.4,20.2,69.1,0.4,0.7,0.1,6.62
"ChicoJuventude, 31, AM(CLR)","186ChicoJuventude, 31, AM(CLR)",  ,14(4),1177.0,1.9,0.6,1.6,-,0.5,0.4,0.1,-,6.62,"186ChicoJuventude, 31, AM(CLR)",  ,14(4),1177.0,-,2,1,1.2,0.7,2.3,0.1,0.9,1.4,6.62,"186ChicoJuventude, 31, AM(CLR)",  ,14(4),1177.0,2,1.2,25.1,77.7,1,1.2,-,6.62
"Igor GomesSao Paulo, 23, M(CLR)","187Igor GomesSao Paulo, 23, M(CLR)",  ,17(2),1555.0,0.9,0.7,1.5,-,0.3,0.6,0.1,-,6.62,"187Igor GomesSao Paulo, 23, M(CLR)",  ,17(2),1555.0,-,2,0.8,1.6,0.7,1,0.1,0.8,1.1,6.62,"187Igor GomesSao Paulo, 23, M(CLR)",  ,17(2),1555.0,2,1.6,35.3,80.9,0.8,1.9,0.2,6.62
"RaúlRed Bull Bragantino, 26, D(R),DMC","188RaúlRed Bull Bragantino, 26, D(R),DMC",  ,15(2),1248.0,2.1,0.7,1.1,0.1,1.2,0.8,0.3,-,6.62,"188RaúlRed Bull Bragantino, 26, D(R),DMC",  ,15(2),1248.0,-,-,0.6,0.3,0.5,1.6,-,0.6,0.8,6.62,"188RaúlRed Bull Bragantino, 26, D(R),DMC",  ,15(2),1248.0,-,0.3,49.0,84.2,0.1,5,0.1,6.62
"Lucas LimaFortaleza, 32, AM(CR)","189Lucas LimaFortaleza, 32, AM(CR)",  ,11(4),931.0,1.1,0.3,1.1,-,-,0.8,-,-,6.61,"189Lucas LimaFortaleza, 32, AM(CR)",  ,11(4),931.0,-,2,0.6,1.7,0.7,1.4,0.2,0.5,1.5,6.61,"189Lucas LimaFortaleza, 32, AM(CR)",  ,11(4),931.0,2,1.7,29.8,79.4,1.4,1.5,0.1,6.61
"Rafael GavaCuiaba, 29, AM(C)","191Rafael GavaCuiaba, 29, AM(C)",  ,16(1),1225.0,1.2,0.6,0.8,-,0.5,1,0.2,-,6.61,"191Rafael GavaCuiaba, 29, AM(C)",  ,16(1),1225.0,-,1,1.1,1.2,0.4,0.8,0.2,0.6,1.2,6.61,"191Rafael GavaCuiaba, 29, AM(C)",  ,16(1),1225.0,1,1.2,27.1,77.2,1.1,1.3,-,6.61
"Víctor CantilloCorinthians, 28, DMC","192Víctor CantilloCorinthians, 28, DMC",  ,10(5),812.0,1.3,0.7,0.6,-,0.9,0.9,0.2,-,6.61,"192Víctor CantilloCorinthians, 28, DMC",  ,10(5),812.0,-,-,0.1,0.4,0.5,1.3,-,0.3,0.4,6.61,"192Víctor CantilloCorinthians, 28, DMC",  ,10(5),812.0,-,0.4,40.6,86.9,0.3,2.8,-,6.61
"João CardosoInternacional, 20, DMC","193João CardosoInternacional, 20, DMC",  ,6(7),644.0,1.6,1.2,1.1,-,0.8,1.4,0.1,-,6.61,"193João CardosoInternacional, 20, DMC",  ,6(7),644.0,1,2,0.8,0.8,1,0.4,-,0.8,1.3,6.61,"193João CardosoInternacional, 20, DMC",  ,6(7),644.0,2,0.8,23.6,86.0,0.1,0.5,-,6.61
"Vinícius LopesBotafogo RJ, 23, AM(LR),FW","194Vinícius LopesBotafogo RJ, 23, AM(LR),FW",  ,9(6),853.0,1.3,0.7,1.3,-,0.5,0.9,0.1,-,6.61,"194Vinícius LopesBotafogo RJ, 23, AM(LR),FW",  ,9(6),853.0,2,-,0.9,0.6,1.1,1.7,0.2,1.1,1.5,6.61,"194Vinícius LopesBotafogo RJ, 23, AM(LR),FW",  ,9(6),853.0,-,0.6,11.5,77.5,0.1,0.1,-,6.61
"Daniel BorgesBotafogo RJ, 29, D(LR)","195Daniel BorgesBotafogo RJ, 29, D(LR)",  ,15(4),1311.0,1.2,0.6,0.6,0.3,1.2,0.8,0.2,-,6.61,"195Daniel BorgesBotafogo RJ, 29, D(LR)",  ,15(4),1311.0,1,2,0.4,1.5,0.6,0.6,0.1,0.2,1.2,6.61,"195Daniel BorgesBotafogo RJ, 29, D(LR)",  ,15(4),1311.0,2,1.5,41.4,83.0,1.4,2.2,-,6.61
"PatricAmerica MG, 33, D(LR),M(R)","196PatricAmerica MG, 33, D(LR),M(R)",  ,15(5),1364.0,1.9,0.7,1.1,0.3,2,0.8,0.2,-,6.61,"196PatricAmerica MG, 33, D(LR),M(R)",  ,15(5),1364.0,-,-,0.8,1.6,0.4,0.9,0.2,1,1.3,6.61,"196PatricAmerica MG, 33, D(LR),M(R)",  ,15(5),1364.0,-,1.6,31.2,75.0,1.6,1.5,-,6.61
"HaynerAtletico GO, 26, D(R)","197HaynerAtletico GO, 26, D(R)",  ,13(3),1141.0,0.8,1.1,1.3,-,1.8,0.6,0.2,-,6.61,"197HaynerAtletico GO, 26, D(R)",  ,13(3),1141.0,-,2,0.5,0.9,1.4,1.6,0.4,0.3,1.7,6.61,"197HaynerAtletico GO, 26, D(R)",  ,13(3),1141.0,2,0.9,24.7,80.5,0.8,1.3,-,6.61
"Gabriel MeninoPalmeiras, 21, D(R),M(CR)","198Gabriel MeninoPalmeiras, 21, D(R),M(CR)",  ,6(7),570.0,1.1,0.4,0.8,0.2,0.7,0.3,-,-,6.6,"198Gabriel MeninoPalmeiras, 21, D(R),M(CR)",  ,6(7),570.0,2,-,1.1,0.7,0.4,1,-,0.4,0.6,6.6,"198Gabriel MeninoPalmeiras, 21, D(R),M(CR)",  ,6(7),570.0,-,0.7,24.6,85.6,0.2,2.8,-,6.6
"Jean IrmerJuventude, 27, DMC","199Jean IrmerJuventude, 27, DMC",  ,8(5),696.0,1.8,1.3,1.2,0.1,1.8,1.2,0.8,-,6.6,"199Jean IrmerJuventude, 27, DMC",  ,8(5),696.0,-,-,0.8,0.2,0.2,0.8,-,0.4,0.7,6.6,"199Jean IrmerJuventude, 27, DMC",  ,8(5),696.0,-,0.2,18.8,71.3,0.1,2.1,-,6.6
"Agustín CanobbioAthletico Paranaense, 23, AM(R)","201Agustín CanobbioAthletico Paranaense, 23, AM(R)",  ,11(4),921.0,1.4,0.3,1.1,-,0.4,0.9,-,-,6.59,"201Agustín CanobbioAthletico Paranaense, 23, AM(R)",  ,11(4),921.0,2,-,0.8,0.7,0.9,1.5,0.2,1,1.3,6.59,"201Agustín CanobbioAthletico Paranaense, 23, AM(R)",  ,11(4),921.0,-,0.7,15.3,78.6,0.1,0.3,0.1,6.59
"Igor ViniciusSao Paulo, 25, D(R),M(R)","202Igor ViniciusSao Paulo, 25, D(R),M(R)",  ,8(8),767.0,1.6,0.6,0.6,-,0.6,0.6,0.1,-,6.59,"202Igor ViniciusSao Paulo, 25, D(R),M(R)",  ,8(8),767.0,1,2,0.6,0.7,0.6,0.5,-,0.4,1.4,6.59,"202Igor ViniciusSao Paulo, 25, D(R),M(R)",  ,8(8),767.0,2,0.7,18.9,77.8,0.5,0.5,-,6.59
"Paulo HenriqueJuventude, 26, D(R),M(R)","203Paulo HenriqueJuventude, 26, D(R),M(R)",  ,9(7),784.0,1.8,0.3,1.3,-,0.3,0.9,-,-,6.58,"203Paulo HenriqueJuventude, 26, D(R),M(R)",  ,9(7),784.0,1,-,0.4,0.7,1.6,0.4,0.2,0.9,0.9,6.58,"203Paulo HenriqueJuventude, 26, D(R),M(R)",  ,9(7),784.0,-,0.7,13.3,67.6,0.7,0.4,-,6.58
"TaisonInternacional, 34, AM(CL),FW","204TaisonInternacional, 34, AM(CL),FW",  ,4(7),528.0,0.6,0.1,0.5,-,-,0.5,-,-,6.58,"204TaisonInternacional, 34, AM(CL),FW",  ,4(7),528.0,1,1,1.1,1.3,0.9,1.5,0.2,0.7,1,6.58,"204TaisonInternacional, 34, AM(CL),FW",  ,4(7),528.0,1,1.3,26.1,90.9,0.5,0.9,0.1,6.58
"Diego CostaSao Paulo, 23, D(C)","205Diego CostaSao Paulo, 23, D(C)",  ,15(3),1449.0,1.7,1.2,1.8,0.3,2.8,0.6,0.6,-,6.58,"205Diego CostaSao Paulo, 23, D(C)",  ,15(3),1449.0,-,-,0.3,0.3,0.5,0.3,-,-,0.5,6.58,"205Diego CostaSao Paulo, 23, D(C)",  ,15(3),1449.0,-,0.3,46.2,83.5,0.2,3.4,-,6.58
"Thiago MaiaFlamengo, 25, DMC","206Thiago MaiaFlamengo, 25, DMC",  ,12(5),1024.0,1.6,1,1.2,0.2,0.6,0.9,0.3,-,6.58,"206Thiago MaiaFlamengo, 25, DMC",  ,12(5),1024.0,-,-,0.3,0.4,0.5,0.1,-,0.4,0.9,6.58,"206Thiago MaiaFlamengo, 25, DMC",  ,12(5),1024.0,-,0.4,41.0,90.5,0.1,1.6,0.1,6.58
"AirtonAtletico GO, 23, AM(R)","207AirtonAtletico GO, 23, AM(R)",  ,11(8),953.0,1,0.4,0.8,-,0.2,0.7,0.1,-,6.58,"207AirtonAtletico GO, 23, AM(R)",  ,11(8),953.0,2,2,1.2,0.6,0.9,0.7,0.1,0.7,1.2,6.58,"207AirtonAtletico GO, 23, AM(R)",  ,11(8),953.0,2,0.6,10.7,69.5,0.4,-,0.1,6.58
"Thalisson KelvenJuventude, 24, D(C)","208Thalisson KelvenJuventude, 24, D(C)",  ,11(4),1003.0,0.7,1.2,0.7,0.3,4.5,0.3,1.3,1,6.58,"208Thalisson KelvenJuventude, 24, D(C)",  ,11(4),1003.0,-,-,0.3,0.1,-,0.3,-,0.1,0.3,6.58,"208Thalisson KelvenJuventude, 24, D(C)",  ,11(4),1003.0,-,0.1,30.9,87.9,-,2.1,-,6.58
"HyoranRed Bull Bragantino, 29, M(CLR)","209HyoranRed Bull Bragantino, 29, M(CLR)",  ,8(5),668.0,0.8,0.5,0.8,-,0.3,0.6,0.2,-,6.58,"209HyoranRed Bull Bragantino, 29, M(CLR)",  ,8(5),668.0,3,2,2.3,0.8,0.2,0.4,-,0.5,1.4,6.58,"209HyoranRed Bull Bragantino, 29, M(CLR)",  ,8(5),668.0,2,0.8,15.3,73.4,0.5,0.8,-,6.58
"HugoBotafogo RJ, 20, D(L),M(L)","210HugoBotafogo RJ, 20, D(L),M(L)",  ,8(6),940.0,1.7,1.1,0.9,0.1,1.3,0.7,0.1,-,6.58,"210HugoBotafogo RJ, 20, D(L),M(L)",  ,8(6),940.0,1,-,0.9,0.8,0.8,0.9,-,0.3,1.4,6.58,"210HugoBotafogo RJ, 20, D(L),M(L)",  ,8(6),940.0,-,0.8,27.1,72.6,0.4,0.9,-,6.58
"CaetanoGoias, 23, D(C)","211CaetanoGoias, 23, D(C)",  ,18,1555.0,1.2,1.3,0.9,0.4,3.6,0.6,0.8,-,6.57,"211CaetanoGoias, 23, D(C)",  ,18,1555.0,-,-,0.2,0.3,0.1,0.3,-,0.1,0.3,6.57,"211CaetanoGoias, 23, D(C)",  ,18,1555.0,-,0.3,34.8,83.4,-,3.7,-,6.57
"NathanFluminense, 26, M(CL)","212NathanFluminense, 26, M(CL)",  ,5(6),448.0,0.5,0.4,0.5,-,0.4,0.3,0.1,-,6.57,"212NathanFluminense, 26, M(CL)",  ,5(6),448.0,-,1,1.5,0.6,0.8,0.5,0.1,0.5,1.2,6.57,"212NathanFluminense, 26, M(CL)",  ,5(6),448.0,1,0.6,18.1,84.4,0.6,0.4,0.1,6.57
"HelinhoRed Bull Bragantino, 22, AM(LR)","213HelinhoRed Bull Bragantino, 22, AM(LR)",  ,10(10),932.0,0.7,0.6,1.2,0.1,0.4,0.6,-,-,6.57,"213HelinhoRed Bull Bragantino, 22, AM(LR)",  ,10(10),932.0,2,1,1.4,1.1,1.1,0.7,0.1,0.7,1.6,6.57,"213HelinhoRed Bull Bragantino, 22, AM(LR)",  ,10(10),932.0,1,1.1,18.8,74.7,0.5,1.4,-,6.57
"José HurtadoRed Bull Bragantino, 20, D(R)","214José HurtadoRed Bull Bragantino, 20, D(R)",  ,5(7),540.0,1.3,0.3,0.6,0.1,1,0.3,0.3,-,6.57,"214José HurtadoRed Bull Bragantino, 20, D(R)",  ,5(7),540.0,-,2,0.2,0.6,0.7,0.3,0.1,0.2,0.8,6.57,"214José HurtadoRed Bull Bragantino, 20, D(R)",  ,5(7),540.0,2,0.6,20.0,82.1,0.7,0.3,-,6.57
"RobinhoCoritiba, 34, M(CR)","215RobinhoCoritiba, 34, M(CR)",  ,3(7),480.0,2,0.6,0.6,-,0.2,1.4,-,-,6.57,"215RobinhoCoritiba, 34, M(CR)",  ,3(7),480.0,-,-,0.3,1.6,0.3,0.9,0.1,0.6,0.5,6.57,"215RobinhoCoritiba, 34, M(CR)",  ,3(7),480.0,-,1.6,34.6,83.2,0.7,2.6,0.2,6.57
"Lucas BarbosaSantos FC, 21, Midfielder","216Lucas BarbosaSantos FC, 21, Midfielder",  ,3(9),384.0,2,0.6,1.1,-,0.3,1.3,-,-,6.57,"216Lucas BarbosaSantos FC, 21, Midfielder",  ,3(9),384.0,1,1,0.8,0.5,0.3,1.5,0.2,0.7,0.8,6.57,"216Lucas BarbosaSantos FC, 21, Midfielder",  ,3(9),384.0,1,0.5,12.6,68.2,0.1,0.8,-,6.57
"LázaroFlamengo, 20, Forward","217LázaroFlamengo, 20, Forward",  ,8(11),688.0,0.7,0.2,0.9,0.1,0.3,0.8,0.1,-,6.57,"217LázaroFlamengo, 20, Forward",  ,8(11),688.0,4,2,1.5,0.6,0.9,0.8,0.1,0.8,1.1,6.57,"217LázaroFlamengo, 20, Forward",  ,8(11),688.0,2,0.6,14.2,78.8,0.3,0.4,0.1,6.57
"Patrick de PaulaBotafogo RJ, 22, DMC","218Patrick de PaulaBotafogo RJ, 22, DMC",  ,9(4),791.0,0.8,1,0.7,-,0.5,1.2,0.2,-,6.56,"218Patrick de PaulaBotafogo RJ, 22, DMC",  ,9(4),791.0,1,-,1.6,0.2,0.8,1.3,-,0.5,1.1,6.56,"218Patrick de PaulaBotafogo RJ, 22, DMC",  ,9(4),791.0,-,0.2,26.3,77.2,0.1,2.2,-,6.56
"Iago MaidanaAmerica MG, 26, D(C)","219Iago MaidanaAmerica MG, 26, D(C)",  ,9(3),743.0,0.7,0.4,1.4,0.3,3.9,0.5,0.3,-,6.56,"219Iago MaidanaAmerica MG, 26, D(C)",  ,9(3),743.0,3,-,0.5,0.2,0.1,0.1,-,0.2,0.3,6.56,"219Iago MaidanaAmerica MG, 26, D(C)",  ,9(3),743.0,-,0.2,20.0,75.4,-,1.1,-,6.56
"AlêAmerica MG, 32, M(C)","220AlêAmerica MG, 32, M(C)",  ,11(2),878.0,1.5,0.8,1.9,-,1.2,0.6,0.1,-,6.56,"220AlêAmerica MG, 32, M(C)",  ,11(2),878.0,1,1,1,0.8,0.5,2.2,-,0.6,1.4,6.56,"220AlêAmerica MG, 32, M(C)",  ,11(2),878.0,1,0.8,36.8,85.6,0.2,2.3,0.1,6.56
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WandersonAtletico GO, 31, D(C)","221WandersonAtletico GO, 31, D(C)",  ,13,1170.0,0.6,0.8,0.8,0.4,3.8,0.2,1.2,-,6.56,"221WandersonAtletico GO, 31, D(C)",  ,13,1170.0,-,-,0.2,0.2,0.1,0.3,-,0.2,0.1,6.56,"221WandersonAtletico GO, 31, D(C)",  ,13,1170.0,-,0.2,43.9,86.3,-,3.5,-,6.56
"Andreas PereiraFlamengo, 26, M(CLR)","222Andreas PereiraFlamengo, 26, M(CLR)",  ,9(4),794.0,0.6,0.3,1.1,-,0.5,1,-,-,6.56,"222Andreas PereiraFlamengo, 26, M(CLR)",  ,9(4),794.0,2,1,1.5,0.9,0.4,0.6,0.1,0.5,0.8,6.56,"222Andreas PereiraFlamengo, 26, M(CLR)",  ,9(4),794.0,1,0.9,31.3,81.8,0.8,1.7,0.1,6.56
"Bruno PraxedesRed Bull Bragantino, 20, M(C)","223Bruno PraxedesRed Bull Bragantino, 20, M(C)",  ,8(4),561.0,0.5,0.3,1.1,-,0.2,0.3,0.1,-,6.56,"223Bruno PraxedesRed Bull Bragantino, 20, M(C)",  ,8(4),561.0,1,2,1.5,0.7,0.8,1.4,0.2,0.8,0.7,6.56,"223Bruno PraxedesRed Bull Bragantino, 20, M(C)",  ,8(4),561.0,2,0.7,19.2,87.8,0.3,1.3,0.1,6.56
"FelipeFortaleza, 28, DMC","224FelipeFortaleza, 28, DMC",  ,11(1),882.0,1.1,1.1,1,-,1.4,0.8,0.1,-,6.56,"224FelipeFortaleza, 28, DMC",  ,11(1),882.0,-,1,0.6,1,0.4,1.1,-,0.7,0.7,6.56,"224FelipeFortaleza, 28, DMC",  ,11(1),882.0,1,1,43.2,85.7,-,3.3,0.1,6.56
"João LucasCuiaba, 24, D(R)","225João LucasCuiaba, 24, D(R)",  ,18(1),1561.0,2.8,1.4,1.5,0.2,2.5,0.9,0.3,-,6.56,"225João LucasCuiaba, 24, D(R)",  ,18(1),1561.0,-,-,0.4,0.4,0.2,1,-,0.4,0.9,6.56,"225João LucasCuiaba, 24, D(R)",  ,18(1),1561.0,-,0.4,28.6,72.2,0.5,1.5,-,6.56
"Fellipe BastosGoias, 32, DMC","226Fellipe BastosGoias, 32, DMC",  ,7(11),781.0,1.1,0.6,1,-,1.1,0.9,0.1,-,6.55,"226Fellipe BastosGoias, 32, DMC",  ,7(11),781.0,-,1,1.3,1.1,0.4,0.7,-,0.2,0.6,6.55,"226Fellipe BastosGoias, 32, DMC",  ,7(11),781.0,1,1.1,28.1,81.6,0.6,2.5,-,6.55
"PedrinhoAthletico Paranaense, 20, Defender","227PedrinhoAthletico Paranaense, 20, Defender",  ,5(5),574.0,0.9,1.1,0.7,0.2,1.9,0.8,0.1,-,6.55,"227PedrinhoAthletico Paranaense, 20, Defender",  ,5(5),574.0,-,1,0.4,0.4,0.8,0.4,-,0.2,0.9,6.55,"227PedrinhoAthletico Paranaense, 20, Defender",  ,5(5),574.0,1,0.4,17.8,75.8,0.2,1.4,-,6.55
"RômuloAthletico Paranaense, 20, Forward","228RômuloAthletico Paranaense, 20, Forward",  ,7(5),696.0,0.9,0.3,0.7,-,1,1.2,0.2,-,6.55,"228RômuloAthletico Paranaense, 20, Forward",  ,7(5),696.0,1,1,0.8,0.3,0.7,0.8,0.1,0.3,1.4,6.55,"228RômuloAthletico Paranaense, 20, Forward",  ,7(5),696.0,1,0.3,11.3,65.4,-,0.5,-,6.55
"Lucas KalAmerica MG, 26, D(CL),DMC","229Lucas KalAmerica MG, 26, D(CL),DMC",  ,19,1536.0,1.3,0.8,0.9,0.1,1.6,1,0.4,-,6.54,"229Lucas KalAmerica MG, 26, D(CL),DMC",  ,19,1536.0,-,-,0.9,0.5,0.4,0.3,-,0.3,0.7,6.54,"229Lucas KalAmerica MG, 26, D(CL),DMC",  ,19,1536.0,-,0.5,34.8,76.0,-,1.6,-,6.54
"ValdíviaCuiaba, 27, AM(CLR),FW","230ValdíviaCuiaba, 27, AM(CLR),FW",  ,14(6),1127.0,0.8,0.4,0.7,0.1,0.3,0.6,0.1,-,6.54,"230ValdíviaCuiaba, 27, AM(CLR),FW",  ,14(6),1127.0,2,-,1.4,0.9,1.2,1.1,0.1,0.8,1.5,6.54,"230ValdíviaCuiaba, 27, AM(CLR),FW",  ,14(6),1127.0,-,0.9,17.4,82.4,0.5,0.3,0.1,6.54
"ValCoritiba, 25, DMC","231ValCoritiba, 25, DMC",  ,7(5),574.0,1.5,0.8,0.9,-,0.7,0.8,0.3,-,6.54,"231ValCoritiba, 25, DMC",  ,7(5),574.0,-,1,1.6,0.4,0.8,0.9,-,0.8,0.8,6.54,"231ValCoritiba, 25, DMC",  ,7(5),574.0,1,0.4,27.4,83.6,0.2,2.8,0.1,6.54
"Gustavo MosquitoCorinthians, 24, AM(LR)","232Gustavo MosquitoCorinthians, 24, AM(LR)",  ,5(8),557.0,0.5,0.2,0.4,-,0.4,0.2,-,-,6.54,"232Gustavo MosquitoCorinthians, 24, AM(LR)",  ,5(8),557.0,2,2,0.6,0.8,0.8,0.7,-,0.3,1,6.54,"232Gustavo MosquitoCorinthians, 24, AM(LR)",  ,5(8),557.0,2,0.8,11.8,79.9,0.6,-,-,6.54
"David LuizFlamengo, 35, D(C),DMC","233David LuizFlamengo, 35, D(C),DMC",  ,9(2),751.0,0.6,0.9,1.5,0.4,2,-,0.5,-,6.54,"233David LuizFlamengo, 35, D(C),DMC",  ,9(2),751.0,-,-,0.5,0.3,0.2,0.2,0.2,-,0.4,6.54,"233David LuizFlamengo, 35, D(C),DMC",  ,9(2),751.0,-,0.3,47.8,88.6,-,2.4,0.1,6.54
"BressanAvai FC, 29, D(CR)","234BressanAvai FC, 29, D(CR)",  ,16,1426.0,1,1.1,1.1,0.1,3.6,0.7,0.9,-,6.54,"234BressanAvai FC, 29, D(CR)",  ,16,1426.0,-,-,0.3,0.2,0.1,0.4,-,0.1,0.1,6.54,"234BressanAvai FC, 29, D(CR)",  ,16,1426.0,-,0.2,51.8,84.1,-,5.4,-,6.54
"Vitor BuenoAthletico Paranaense, 27, AM(CLR),FW","235Vitor BuenoAthletico Paranaense, 27, AM(CLR),FW",  ,8(5),725.0,0.2,0.4,0.5,-,0.5,0.5,0.1,-,6.53,"235Vitor BuenoAthletico Paranaense, 27, AM(CLR),FW",  ,8(5),725.0,3,1,1.2,1,0.8,0.9,-,0.8,1.5,6.53,"235Vitor BuenoAthletico Paranaense, 27, AM(CLR),FW",  ,8(5),725.0,1,1,20.9,78.7,0.2,0.8,0.1,6.53
"Vinícius ZanoceloSantos FC, 21, DMC","236Vinícius ZanoceloSantos FC, 21, DMC",  ,20,1506.0,1.1,0.9,1.8,-,0.9,1.6,0.2,-,6.53,"236Vinícius ZanoceloSantos FC, 21, DMC",  ,20,1506.0,3,-,1.8,0.8,0.3,0.5,0.1,0.5,0.7,6.53,"236Vinícius ZanoceloSantos FC, 21, DMC",  ,20,1506.0,-,0.8,33.6,85.1,0.1,1.8,-,6.53
"Renzo SaraviaBotafogo RJ, 29, D(R),M(R)","237Renzo SaraviaBotafogo RJ, 29, D(R),M(R)",  ,16(2),1341.0,1.9,1.3,1.8,0.2,1.6,1.7,0.2,-,6.53,"237Renzo SaraviaBotafogo RJ, 29, D(R),M(R)",  ,16(2),1341.0,-,1,0.5,0.6,1.4,1.6,-,0.8,2.2,6.53,"237Renzo SaraviaBotafogo RJ, 29, D(R),M(R)",  ,16(2),1341.0,1,0.6,29.6,77.7,0.4,1,-,6.53
"Gabriel MercadoInternacional, 35, D(CR)","238Gabriel MercadoInternacional, 35, D(CR)",  ,14(3),1330.0,1,1.2,0.9,0.5,2.6,0.4,0.8,-,6.53,"238Gabriel MercadoInternacional, 35, D(CR)",  ,14(3),1330.0,-,-,0.4,0.2,-,0.7,0.1,-,0.2,6.53,"238Gabriel MercadoInternacional, 35, D(CR)",  ,14(3),1330.0,-,0.2,35.8,89.5,-,1.8,-,6.53
"Eduardo BiasiAvai FC, 25, M(C)","239Eduardo BiasiAvai FC, 25, M(C)",  ,18(3),1409.0,1.7,0.5,1.8,-,0.3,1.2,0.1,-,6.53,"239Eduardo BiasiAvai FC, 25, M(C)",  ,18(3),1409.0,1,1,1.1,1,0.8,1.2,-,0.8,1.7,6.53,"239Eduardo BiasiAvai FC, 25, M(C)",  ,18(3),1409.0,1,1,27.5,86.3,0.1,1.2,0.2,6.53
"JadsomRed Bull Bragantino, 21, DMC","240JadsomRed Bull Bragantino, 21, DMC",  ,6(9),671.0,1.1,1.3,1,-,0.8,0.7,0.2,-,6.53,"240JadsomRed Bull Bragantino, 21, DMC",  ,6(9),671.0,-,1,0.4,0.3,0.5,0.3,-,0.2,0.6,6.53,"240JadsomRed Bull Bragantino, 21, DMC",  ,6(9),671.0,1,0.3,24.5,84.0,-,2.5,-,6.53
"Thonny AndersonCoritiba, 24, AM(C),FW","241Thonny AndersonCoritiba, 24, AM(C),FW",  ,7(6),603.0,1.2,0.3,1.2,-,0.3,1.2,0.2,-,6.52,"241Thonny AndersonCoritiba, 24, AM(C),FW",  ,7(6),603.0,-,1,1.2,1.1,2,0.8,-,0.8,1.5,6.52,"241Thonny AndersonCoritiba, 24, AM(C),FW",  ,7(6),603.0,1,1.1,19.8,76.7,0.7,1.2,0.1,6.52
"Luis OyamaBotafogo RJ, 25, DMC","242Luis OyamaBotafogo RJ, 25, DMC",  ,14(2),1088.0,1.9,1.1,1.3,0.2,0.8,1.7,0.3,-,6.52,"242Luis OyamaBotafogo RJ, 25, DMC",  ,14(2),1088.0,-,-,0.9,0.7,0.9,1.3,-,1.2,0.8,6.52,"242Luis OyamaBotafogo RJ, 25, DMC",  ,14(2),1088.0,-,0.7,35.9,81.7,0.1,3.1,-,6.52
