Jogador,Player,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
"Felipe JonatanSantos FC, 24, D(L),M(CL)","41Felipe JonatanSantos FC, 24, D(L),M(CL)",  ,11(2),989.0,0.7,1.3,0.8,0.1,2.2,0.2,0.4,-,6.96,"41Felipe JonatanSantos FC, 24, D(L),M(CL)",  ,11(2),989.0,-,-,0.5,1.2,1.2,1,0.1,0.7,0.5,6.96,"41Felipe JonatanSantos FC, 24, D(L),M(CL)",  ,11(2),989.0,-,1.2,40.5,82.0,1.3,2.2,-,6.96
"Ignacio FernándezAtletico MG, 32, M(CLR)","42Ignacio FernándezAtletico MG, 32, M(CLR)",  ,17(2),1418.0,1.4,0.6,0.5,0.1,0.4,2,-,-,6.96,"42Ignacio FernándezAtletico MG, 32, M(CLR)",  ,17(2),1418.0,3,5,1.5,2.3,0.5,1.8,0.1,1.1,1.6,6.96,"42Ignacio FernándezAtletico MG, 32, M(CLR)",  ,17(2),1418.0,5,2.3,41.4,84.4,1.9,1.2,-,6.96
"RanieleAvai FC, 25, DMC","43RanieleAvai FC, 25, DMC",  ,20,1679.0,2,1.3,1.3,0.1,2.5,1.4,0.9,-,6.95,"43RanieleAvai FC, 25, DMC",  ,20,1679.0,1,-,1,0.3,1.3,2.5,-,0.8,1.4,6.95,"43RanieleAvai FC, 25, DMC",  ,20,1679.0,-,0.3,42.5,76.8,-,2.8,0.1,6.95
"Léo BaptistãoSantos FC, 29, AM(CLR),FW","44Léo BaptistãoSantos FC, 29, AM(CLR),FW",  ,16(1),1151.0,1.2,0.4,1,0.1,0.9,1,0.2,1,6.95,"44Léo BaptistãoSantos FC, 29, AM(CLR),FW",  ,16(1),1151.0,5,1,2.2,0.9,1.1,1.9,0.1,1.2,1.3,6.95,"44Léo BaptistãoSantos FC, 29, AM(CLR),FW",  ,16(1),1151.0,1,0.9,18.4,68.4,0.1,0.6,-,6.95
"MatheuzinhoFlamengo, 21, D(R)","45MatheuzinhoFlamengo, 21, D(R)",  ,14(1),1265.0,2.3,1.1,0.9,0.2,1.7,0.9,0.4,-,6.94,"45MatheuzinhoFlamengo, 21, D(R)",  ,14(1),1265.0,-,2,0.4,1.1,0.9,0.3,-,0.3,1,6.94,"45MatheuzinhoFlamengo, 21, D(R)",  ,14(1),1265.0,2,1.1,46.3,87.9,0.6,2.6,-,6.94
"Zé RafaelPalmeiras, 29, M(CLR)","46Zé RafaelPalmeiras, 29, M(CLR)",  ,20(1),1652.0,2.1,0.8,1.3,-,0.5,1.6,0.1,-,6.94,"46Zé RafaelPalmeiras, 29, M(CLR)",  ,20(1),1652.0,3,1,1.6,0.8,1,2,-,1.8,1.4,6.94,"46Zé RafaelPalmeiras, 29, M(CLR)",  ,20(1),1652.0,1,0.8,34.8,87.4,0.1,1.9,-,6.94
"MarlonAmerica MG, 28, D(L)","47MarlonAmerica MG, 28, D(L)",  ,14(1),1135.0,2.3,1.5,1.3,0.1,1.7,0.9,0.5,-,6.93,"47MarlonAmerica MG, 28, D(L)",  ,14(1),1135.0,-,1,0.9,1.1,0.7,1.1,-,0.8,1.2,6.93,"47MarlonAmerica MG, 28, D(L)",  ,14(1),1135.0,1,1.1,30.4,77.0,0.7,1.5,-,6.93
"NatanRed Bull Bragantino, 21, D(C)","48NatanRed Bull Bragantino, 21, D(C)",  ,16,1440.0,1.1,1.3,0.6,0.4,3.3,0.3,0.6,-,6.91,"48NatanRed Bull Bragantino, 21, D(C)",  ,16,1440.0,2,1,0.6,0.4,0.6,0.6,0.1,0.1,0.1,6.91,"48NatanRed Bull Bragantino, 21, D(C)",  ,16,1440.0,1,0.4,51.8,89.9,0.1,4.3,-,6.91
"Lucas EvangelistaRed Bull Bragantino, 27, M(CLR)","49Lucas EvangelistaRed Bull Bragantino, 27, M(CLR)",  ,16(3),1379.0,1.8,0.9,1.1,-,0.7,1,0.3,-,6.91,"49Lucas EvangelistaRed Bull Bragantino, 27, M(CLR)",  ,16(3),1379.0,2,1,1.5,1.2,1,1.9,0.1,0.7,1.5,6.91,"49Lucas EvangelistaRed Bull Bragantino, 27, M(CLR)",  ,16(3),1379.0,1,1.2,32.7,84.7,0.2,1.1,0.1,6.91
"PabloAthletico Paranaense, 30, AM(CLR),FW","50PabloAthletico Paranaense, 30, AM(CLR),FW",  ,9(2),708.0,0.5,0.5,1.8,-,1.2,0.1,0.1,-,6.91,"50PabloAthletico Paranaense, 30, AM(CLR),FW",  ,9(2),708.0,2,1,2,1.3,0.6,1,0.9,0.8,2,6.91,"50PabloAthletico Paranaense, 30, AM(CLR),FW",  ,9(2),708.0,1,1.3,18.2,75.0,-,0.9,-,6.91
