Jogador,Player,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Player,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Player,Unnamed: 1,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
"MessiasCeara, 27, D(C)","36MessiasCeara, 27, D(C)",  ,9,810.0,0.7,1.3,0.9,0.7,6.3,0.1,0.9,-,6.93,"36MessiasCeara, 27, D(C)",  ,9,810.0,-,-,0.6,0.6,-,-,-,0.1,0.1,6.93,"36MessiasCeara, 27, D(C)",  ,9,810.0,-,0.6,26.7,78.3,-,0.8,-,6.93,"36MessiasCeara, 27, D(C)",  ,9,810.0,-,-,2,-,0.6,78.3,2.9,-,6.93
"RobsonFortaleza, 31, AM(LR),FW","37RobsonFortaleza, 31, AM(LR),FW",  ,5(3),456.0,0.4,0.3,2.1,-,0.8,1.1,0.3,-,6.92,"37RobsonFortaleza, 31, AM(LR),FW",  ,5(3),456.0,3,2,1.5,1,0.6,1.8,0.8,1,1.6,6.92,"37RobsonFortaleza, 31, AM(LR),FW",  ,5(3),456.0,2,1,12.6,64.4,0.1,1.3,-,6.92,"37RobsonFortaleza, 31, AM(LR),FW",  ,5(3),456.0,3,2,3,-,1.5,64.4,2,1,6.92
"ErisonBotafogo RJ, 23, FW","38ErisonBotafogo RJ, 23, FW",  ,8(1),714.0,0.3,0.1,1.6,-,0.6,0.4,-,-,6.92,"38ErisonBotafogo RJ, 23, FW",  ,8(1),714.0,5,1,2.8,0.8,1,1,0.8,1.3,3.6,6.92,"38ErisonBotafogo RJ, 23, FW",  ,8(1),714.0,1,0.8,11.0,67.7,-,-,-,6.92,"38ErisonBotafogo RJ, 23, FW",  ,8(1),714.0,5,1,1,-,2.8,67.7,1.3,2,6.92
"AndréFluminense, 21, DMC","39AndréFluminense, 21, DMC",  ,8,681.0,1.1,1.3,1.4,-,0.8,1.9,1,-,6.91,"39AndréFluminense, 21, DMC",  ,8,681.0,1,-,0.5,0.9,2.3,1.5,-,0.6,1,6.91,"39AndréFluminense, 21, DMC",  ,8,681.0,-,0.9,66.0,90.7,0.1,1.9,0.1,6.91,"39AndréFluminense, 21, DMC",  ,8,681.0,1,-,2,1,0.5,90.7,0.4,1,6.91
"MaiconSantos FC, 33, D(C)","40MaiconSantos FC, 33, D(C)",  ,8,646.0,1,1.3,0.3,0.1,5.5,0.6,1.3,-,6.91,"40MaiconSantos FC, 33, D(C)",  ,8,646.0,-,-,0.5,0.3,0.1,0.3,-,0.3,0.3,6.91,"40MaiconSantos FC, 33, D(C)",  ,8,646.0,-,0.3,44.9,86.6,0.3,5.4,-,6.91,"40MaiconSantos FC, 33, D(C)",  ,8,646.0,-,-,1,-,0.5,86.6,2.8,-,6.91
Erro:502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Felipe JonatanSantos FC, 24, D(L),M(CL)","41Felipe JonatanSantos FC, 24, D(L),M(CL)",  ,7(2),642.0,0.6,1.4,0.6,-,1.9,0.2,0.3,-,6.9,"41Felipe JonatanSantos FC, 24, D(L),M(CL)",  ,7(2),642.0,-,-,0.4,1,0.9,1.3,0.1,0.7,0.2,6.9,"41Felipe JonatanSantos FC, 24, D(L),M(CL)",  ,7(2),642.0,-,1,43.6,83.7,1.2,2.3,-,6.9,"41Felipe JonatanSantos FC, 24, D(L),M(CL)",  ,7(2),642.0,-,-,-,-,0.4,83.7,0.7,-,6.9
"AlerrandroRed Bull Bragantino, 22, FW","42AlerrandroRed Bull Bragantino, 22, FW",  ,2(4),242.0,0.3,0.5,0.8,-,0.5,0.2,0.2,-,6.9,"42AlerrandroRed Bull Bragantino, 22, FW",  ,2(4),242.0,3,-,2.3,0.2,0.7,0.8,-,0.5,0.5,6.9,"42AlerrandroRed Bull Bragantino, 22, FW",  ,2(4),242.0,-,0.2,7.0,83.3,-,-,-,6.9,"42AlerrandroRed Bull Bragantino, 22, FW",  ,2(4),242.0,3,-,2,-,2.3,83.3,0.3,1,6.9
"LucianoSao Paulo, 29, AM(CR),FW","43LucianoSao Paulo, 29, AM(CR),FW",  ,6(2),500.0,0.4,0.4,0.9,-,0.4,0.5,0.1,-,6.89,"43LucianoSao Paulo, 29, AM(CR),FW",  ,6(2),500.0,4,1,2.3,0.3,1.1,1.1,0.4,1,1.1,6.89,"43LucianoSao Paulo, 29, AM(CR),FW",  ,6(2),500.0,1,0.3,22.8,83.0,-,1,-,6.89,"43LucianoSao Paulo, 29, AM(CR),FW",  ,6(2),500.0,4,1,4,-,2.3,83.0,0.8,2,6.89
"VinaCeara, 31, M(CR),FW","44VinaCeara, 31, M(CR),FW",  ,8(1),733.0,0.3,0.8,0.2,-,0.4,0.7,-,-,6.89,"44VinaCeara, 31, M(CR),FW",  ,8(1),733.0,-,1,2.6,2.9,0.3,2.1,0.2,0.3,1.1,6.89,"44VinaCeara, 31, M(CR),FW",  ,8(1),733.0,1,2.9,37.6,83.4,1.9,2.8,0.2,6.89,"44VinaCeara, 31, M(CR),FW",  ,8(1),733.0,-,1,-,1,2.6,83.4,0.6,1,6.89
"Marcelo BenevenutoFortaleza, 26, D(C)","45Marcelo BenevenutoFortaleza, 26, D(C)",  ,10(1),906.0,1.2,1.5,0.6,0.4,4.8,0.1,0.9,-,6.89,"45Marcelo BenevenutoFortaleza, 26, D(C)",  ,10(1),906.0,-,1,0.1,0.1,0.5,0.6,-,0.2,0.4,6.89,"45Marcelo BenevenutoFortaleza, 26, D(C)",  ,10(1),906.0,1,0.1,31.4,84.6,-,2.4,0.1,6.89,"45Marcelo BenevenutoFortaleza, 26, D(C)",  ,10(1),906.0,-,1,1,-,0.1,84.6,2.5,1,6.89
