,J,J,J,J,J,J,J,J,J,J,J,J,J,o,o,o,o,o,o,o,o,o,o,o,o,o,g,g,g,g,g,g,g,g,g,g,g,g,g,g,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,d,d,d,d,d,d,d,d,d,d,d,d,o,o,o,o,o,o,o,o,o,o,o,o,r,r,r,r,r,r,r,r,r,r,r,r
,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Jogador,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Jogador,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Jogador
118,  ,10,900.0,-,-,0.1,-,1.5,0.1,-,-,6.69,"CleitonRed Bull Bragantino, 24, GK",  ,21,1801.0,2,0.9,1,0.2,1.9,1.2,0.2,-,6.75,"KevinAvai FC, 24, D(R),M(R)",  ,6,540.0,-,-,-,-,-,-,-,0.2,-,6.86,"JailsonAmerica MG, 41, GK",  ,10,900.0,-,-,-,-,-,0.2,-,-,-,6.69,"CleitonRed Bull Bragantino, 24, GK",  ,21,1801.0,1,1,0.7,1.4,0.5,0.5,-,0.3,0.7,6.75,"KevinAvai FC, 24, D(R),M(R)",  ,6,540.0,-,-,25.2,69.5,-,8,-,6.86,"JailsonAmerica MG, 41, GK",  ,10,900.0,-,-,27.5,68.0,-,5.2,-,6.69,"CleitonRed Bull Bragantino, 24, GK"
119,  ,6(4),558.0,1.4,0.8,0.9,-,0.4,1,0.2,-,6.69,"NonatoFluminense, 24, M(C)",  ,22,1980.0,-,-,-,-,0.9,-,-,-,6.74,"FábioFluminense, 41, GK",  ,8,555.0,-,1,1.5,1.3,0.4,0.4,0.1,0.5,1,6.86,"Rafael GavaCuiaba, 29, AM(C)",  ,6(4),558.0,-,2,0.7,0.9,0.5,2.1,0.1,0.7,0.7,6.69,"NonatoFluminense, 24, M(C)",  ,22,1980.0,-,-,-,-,-,0.1,-,-,-,6.74,"FábioFluminense, 41, GK",  ,8,555.0,1,1.3,28.6,78.2,1.3,1.3,-,6.86,"Rafael GavaCuiaba, 29, AM(C)",  ,6(4),558.0,2,0.9,49.3,88.0,0.3,0.7,0.1,6.69,"NonatoFluminense, 24, M(C)"
120,  ,3(6),372.0,0.6,-,0.7,0.1,0.7,0.4,-,-,6.69,"PedroFlamengo, 25, FW",  ,21,1890.0,-,-,-,-,1.4,-,-,-,6.74,"CleitonRed Bull Bragantino, 24, GK",  ,8,720.0,-,-,-,-,0.1,0.1,-,-,-,6.86,"Alex MuralhaCoritiba, 32, GK",  ,3(6),372.0,3,-,2.2,0.6,0.6,0.6,0.1,0.3,1.2,6.69,"PedroFlamengo, 25, FW",  ,21,1890.0,-,-,-,0.1,-,0.3,-,-,-,6.74,"CleitonRed Bull Bragantino, 24, GK",  ,8,720.0,-,-,23.6,62.4,-,4.8,-,6.86,"Alex MuralhaCoritiba, 32, GK",  ,3(6),372.0,-,0.6,7.1,75.0,-,0.1,0.1,6.69,"PedroFlamengo, 25, FW"
121,  ,8,720.0,1.1,1.4,0.6,0.4,3.9,0.1,0.9,-,6.68,"NatanRed Bull Bragantino, 21, D(C)",  ,9(4),719.0,0.5,0.2,0.8,-,0.2,0.5,-,-,6.74,"RomarinhoFortaleza, 28, AM(CLR),FW",  ,7(2),530.0,3,-,2.4,0.8,1,0.7,0.2,0.7,0.7,6.85,"LucianoSao Paulo, 29, AM(CR),FW",  ,8,720.0,-,-,0.4,0.4,0.4,0.6,-,0.3,-,6.68,"NatanRed Bull Bragantino, 21, D(C)",  ,9(4),719.0,2,1,1.6,1,2.3,1.5,0.2,1.5,1.3,6.74,"RomarinhoFortaleza, 28, AM(CLR),FW",  ,7(2),530.0,-,0.8,20.1,82.9,-,1.6,-,6.85,"LucianoSao Paulo, 29, AM(CR),FW",  ,8,720.0,-,0.4,56.3,90.0,0.1,3.5,-,6.68,"NatanRed Bull Bragantino, 21, D(C)"
122,  ,7(4),657.0,1.1,0.5,0.8,-,0.2,1.1,0.2,-,6.68,"Éverton RibeiroFlamengo, 33, AM(CLR)",  ,12(4),1146.0,1.6,1.6,1,-,1.4,0.8,0.4,-,6.74,"KhellvenAthletico Paranaense, 21, D(R)",  ,7(1),581.0,2,-,2.1,1.5,0.9,2.3,0.1,2,2.4,6.85,"LimaCeara, 26, AM(CLR)",  ,7(4),657.0,-,2,0.7,0.7,1.5,1.8,-,1.2,1.2,6.68,"Éverton RibeiroFlamengo, 33, AM(CLR)",  ,12(4),1146.0,1,2,0.5,0.9,0.5,0.6,-,0.3,1.6,6.74,"KhellvenAthletico Paranaense, 21, D(R)",  ,7(1),581.0,-,1.5,32.1,84.8,0.8,0.6,0.1,6.85,"LimaCeara, 26, AM(CLR)",  ,7(4),657.0,2,0.7,34.1,84.3,0.5,1,0.3,6.68,"Éverton RibeiroFlamengo, 33, AM(CLR)"
123,  ,5(1),495.0,-,-,-,-,1,-,-,-,6.68,"VladimirAvai FC, 33, GK",  ,18(2),1566.0,1.7,1.8,0.9,-,2,0.5,0.2,-,6.73,"AbnerAthletico Paranaense, 22, D(L),M(L)",  ,10,900.0,-,-,-,-,-,0.1,-,-,0.1,6.85,"WalterCuiaba, 34, GK",  ,5(1),495.0,-,-,-,-,-,0.2,-,-,-,6.68,"VladimirAvai FC, 33, GK",  ,18(2),1566.0,1,-,0.5,0.9,0.3,0.5,0.1,0.5,0.6,6.73,"AbnerAthletico Paranaense, 22, D(L),M(L)",  ,10,900.0,-,-,23.5,73.6,-,5.1,-,6.85,"WalterCuiaba, 34, GK",  ,5(1),495.0,-,-,21.8,70.2,-,3.5,-,6.68,"VladimirAvai FC, 33, GK"
124,  ,9,727.0,2.7,1.7,2.4,0.4,2.2,1.6,0.1,-,6.67,"Renzo SaraviaBotafogo RJ, 29, D(R),M(R)",  ,20,1744.0,1,0.8,0.5,0.4,1.9,0.6,0.7,-,6.73,"Júnior AlonsoAtletico MG, 29, D(CL)",  ,5(5),407.0,3,2,2.1,0.8,1.1,1.1,0.1,0.8,0.8,6.84,"LázaroFlamengo, 20, Forward",  ,9,727.0,-,1,0.6,0.3,1.8,1.8,-,0.8,2.4,6.67,"Renzo SaraviaBotafogo RJ, 29, D(R),M(R)",  ,20,1744.0,-,2,0.4,0.4,0.4,0.2,-,0.2,0.2,6.73,"Júnior AlonsoAtletico MG, 29, D(CL)",  ,5(5),407.0,2,0.8,16.6,81.9,0.4,0.5,0.1,6.84,"LázaroFlamengo, 20, Forward",  ,9,727.0,1,0.3,33.2,77.6,0.1,0.7,-,6.67,"Renzo SaraviaBotafogo RJ, 29, D(R),M(R)"
125,  ,7(2),601.0,0.6,0.3,0.6,-,0.4,1.1,0.1,-,6.67,"RonyPalmeiras, 27, AM(LR),FW",,,,,,,,,,,,,Erro:502,  ,4(5),410.0,2,-,1.6,1,1.2,0.4,0.1,0.4,1.2,6.84,"HelinhoRed Bull Bragantino, 22, AM(LR)",  ,7(2),601.0,4,-,2.3,0.6,0.4,0.9,0.7,0.9,1.4,6.67,"RonyPalmeiras, 27, AM(LR),FW",,,,,,,,,,,,,,Erro:502,  ,4(5),410.0,-,1,17.7,74.8,0.7,1.8,-,6.84,"HelinhoRed Bull Bragantino, 22, AM(LR)",  ,7(2),601.0,-,0.6,11.0,65.7,-,-,-,6.67,"RonyPalmeiras, 27, AM(LR),FW"
126,  ,2(3),243.0,1.2,1.4,0.8,-,0.8,0.4,-,-,6.67,"MaykePalmeiras, 29, D(R)",  ,20,1771.0,1.3,1,0.5,-,1.2,0.5,0.6,-,6.73,"JuninhoAmerica MG, 34, D(L),M(CR)",  ,9,757.0,3,-,2.8,1.1,1.9,2.3,0.8,2.6,3.4,6.84,"Steven MendozaCeara, 30, AM(CLR)",  ,2(3),243.0,-,-,0.2,0.6,1,-,-,0.2,0.2,6.67,"MaykePalmeiras, 29, D(R)",  ,20,1771.0,-,2,0.5,1.4,1.6,1,0.1,1.1,1.9,6.73,"JuninhoAmerica MG, 34, D(L),M(CR)",  ,9,757.0,-,1.1,21.2,74.3,0.9,0.7,0.1,6.84,"Steven MendozaCeara, 30, AM(CLR)",  ,2(3),243.0,-,0.6,24.6,84.6,0.2,1.6,-,6.67,"MaykePalmeiras, 29, D(R)"
127,  ,5(4),486.0,1.1,1,0.8,0.1,0.9,0.3,-,-,6.67,"Nino ParaíbaCeara, 36, D(R),M(R)",  ,9(9),961.0,1.1,0.7,0.6,0.1,1.1,0.9,0.1,-,6.73,"WelingtonSao Paulo, 21, D(L),M(L)",  ,9,740.0,-,-,0.8,0.1,0.3,0.7,0.1,0.9,1.1,6.83,"Richard CândidoCeara, 28, DMC",  ,5(4),486.0,-,-,0.3,0.9,1.2,0.9,0.1,0.3,0.7,6.67,"Nino ParaíbaCeara, 36, D(R),M(R)",  ,9(9),961.0,-,4,0.5,1.5,0.9,0.8,-,0.7,1.1,6.73,"WelingtonSao Paulo, 21, D(L),M(L)",  ,9,740.0,-,0.1,46.9,86.3,-,1.8,-,6.83,"Richard CândidoCeara, 28, DMC",  ,5(4),486.0,-,0.9,21.3,74.0,1.2,1,-,6.67,"Nino ParaíbaCeara, 36, D(R),M(R)"
128,,,,,,,,,,,,,Erro:502,  ,10(6),937.0,1.3,0.7,0.9,0.1,0.4,0.9,0.2,-,6.73,"NonatoFluminense, 24, M(C)",  ,10,900.0,-,-,-,-,-,-,-,-,-,6.83,"BentoAthletico Paranaense, 23, GK",,,,,,,,,,,,,,Erro:502,  ,10(6),937.0,-,2,0.7,1.2,0.6,1.9,0.1,0.8,0.8,6.73,"NonatoFluminense, 24, M(C)",  ,10,900.0,-,-,22.9,51.5,-,4.2,-,6.83,"BentoAthletico Paranaense, 23, GK",,,,,,,,,,,,Erro:502
129,  ,7(4),689.0,1.4,0.2,1.5,-,0.3,0.7,0.1,-,6.67,"Diego ChurínAtletico GO, 32, FW",  ,9(5),789.0,1,0.1,0.6,-,0.1,0.5,-,-,6.73,"KenoAtletico MG, 32, AM(CLR),FW",  ,9,594.0,2,3,2.4,1.1,0.8,1.6,0.1,1.1,1.4,6.83,"Raphael VeigaPalmeiras, 27, AM(CLR)",  ,7(4),689.0,2,-,1.1,0.8,0.2,1.5,0.1,0.5,1.5,6.67,"Diego ChurínAtletico GO, 32, FW",  ,9(5),789.0,1,1,1.4,1.4,1.6,1,0.2,0.9,1.8,6.73,"KenoAtletico MG, 32, AM(CLR),FW",  ,9,594.0,3,1.1,22.7,81.4,0.8,1.8,-,6.83,"Raphael VeigaPalmeiras, 27, AM(CLR)",  ,7(4),689.0,-,0.8,18.5,67.5,-,0.3,-,6.67,"Diego ChurínAtletico GO, 32, FW"
130,  ,9,742.0,3.2,0.7,2.2,-,0.8,2.7,0.1,-,6.66,"Rodrigo FernándezSantos FC, 26, DMC",  ,19,1710.0,-,-,-,-,2.1,-,-,-,6.72,"CésarJuventude, 27, GK",  ,10,771.0,6,-,2.4,0.7,0.1,0.7,0.4,1.1,2.5,6.82,"Pedro RaúlGoias, 25, FW",  ,9,742.0,-,-,0.6,0.2,1.1,1.1,-,0.4,0.6,6.66,"Rodrigo FernándezSantos FC, 26, DMC",  ,19,1710.0,-,-,-,-,-,0.2,-,0.1,0.1,6.72,"CésarJuventude, 27, GK",  ,10,771.0,-,0.7,10.0,66.0,-,0.3,0.1,6.82,"Pedro RaúlGoias, 25, FW",  ,9,742.0,-,0.2,52.7,83.5,0.1,3,0.1,6.66,"Rodrigo FernándezSantos FC, 26, DMC"
131,  ,7(4),664.0,1,0.3,0.5,0.1,0.9,0.6,-,-,6.66,"Caio PaulistaFluminense, 24, D(L),M(LR)",  ,18,1553.0,3.2,0.8,2.5,0.1,1.9,2.1,0.4,-,6.72,"Bruno SilvaAvai FC, 36, M(CR)",  ,7(2),617.0,1,1,0.3,1.9,0.4,0.9,-,0.1,0.6,6.82,"Daniel BorgesBotafogo RJ, 29, D(LR)",  ,7(4),664.0,-,2,0.6,1.1,1.9,1.4,-,1.4,1.8,6.66,"Caio PaulistaFluminense, 24, D(L),M(LR)",  ,18,1553.0,-,-,0.4,0.7,0.8,1.4,0.1,0.9,0.7,6.72,"Bruno SilvaAvai FC, 36, M(CR)",  ,7(2),617.0,1,1.9,43.8,83.0,1.7,2.8,-,6.82,"Daniel BorgesBotafogo RJ, 29, D(LR)",  ,7(4),664.0,2,1.1,30.1,86.7,0.3,0.2,0.1,6.66,"Caio PaulistaFluminense, 24, D(L),M(LR)"
132,  ,7,524.0,1,2.1,1.3,1.3,4,0.3,0.7,-,6.66,"Philipe SampaioBotafogo RJ, 27, D(C)",  ,7(6),617.0,0.2,0.2,0.6,-,0.6,0.4,0.1,-,6.72,"AlerrandroRed Bull Bragantino, 22, FW",  ,5(5),565.0,1,-,1.1,0.6,2.2,1.2,0.2,0.7,0.7,6.82,"Lucas BragaSantos FC, 25, M(LR)",  ,7,524.0,-,-,0.4,-,0.3,0.4,0.1,-,0.3,6.66,"Philipe SampaioBotafogo RJ, 27, D(C)",  ,7(6),617.0,5,-,2.5,0.5,0.4,0.8,0.2,0.6,0.9,6.72,"AlerrandroRed Bull Bragantino, 22, FW",  ,5(5),565.0,-,0.6,16.8,85.1,0.3,0.4,-,6.82,"Lucas BragaSantos FC, 25, M(LR)",  ,7,524.0,-,-,44.4,87.1,-,1.9,-,6.66,"Philipe SampaioBotafogo RJ, 27, D(C)"
133,  ,6(2),528.0,0.5,0.1,0.6,-,0.4,0.4,-,-,6.66,"Raphael VeigaPalmeiras, 27, AM(CLR)",  ,9(1),765.0,1.1,1.6,1.4,0.1,4,0.3,0.4,1,6.72,"Luan GarciaPalmeiras, 29, D(C)",  ,7,570.0,1,-,1,1,1.1,2.3,0.4,1.6,1.6,6.81,"Agustín CanobbioAthletico Paranaense, 23, AM(R)",  ,6(2),528.0,-,-,1.9,1.9,1.8,2,0.3,1.6,1.9,6.66,"Raphael VeigaPalmeiras, 27, AM(CLR)",  ,9(1),765.0,-,1,0.6,0.2,-,0.6,0.1,0.1,0.4,6.72,"Luan GarciaPalmeiras, 29, D(C)",  ,7,570.0,-,1,21.0,78.2,0.1,0.4,-,6.81,"Agustín CanobbioAthletico Paranaense, 23, AM(R)",  ,6(2),528.0,-,1.9,27.0,89.4,0.6,0.6,-,6.66,"Raphael VeigaPalmeiras, 27, AM(CLR)"
134,  ,6(2),574.0,0.9,1.4,0.6,0.8,5.4,0.5,0.9,-,6.66,"Germán ContiAmerica MG, 28, D(C)",  ,9(6),705.0,1,0.1,1.7,-,0.6,0.1,-,-,6.72,"CléberCeara, 25, FW",,,,,,,,,,,,,,Erro:502,  ,6(2),574.0,-,-,0.1,-,-,-,-,-,0.3,6.66,"Germán ContiAmerica MG, 28, D(C)",  ,9(6),705.0,3,-,1.6,0.7,0.5,0.3,0.3,0.3,1.1,6.72,"CléberCeara, 25, FW",,,,,,,,,,,,Erro:502,  ,6(2),574.0,-,-,30.4,74.5,-,1.8,-,6.66,"Germán ContiAmerica MG, 28, D(C)"
135,  ,6(1),534.0,3.6,0.7,2.4,-,0.7,2.1,-,-,6.66,"João GomesFlamengo, 21, DMC",  ,15(5),1380.0,0.4,0.1,0.4,-,-,0.5,-,-,6.72,"Gabriel BarbosaFlamengo, 25, AM(LR),FW",,,,,,,,,,,,,,Erro:502,  ,6(1),534.0,-,-,1.1,0.3,1.1,2.1,-,1.6,0.7,6.66,"João GomesFlamengo, 21, DMC",  ,15(5),1380.0,6,1,2.4,1.3,0.5,0.8,0.7,0.8,1.2,6.72,"Gabriel BarbosaFlamengo, 25, AM(LR),FW",,,,,,,,,,,,Erro:502,  ,6(1),534.0,-,0.3,39.7,87.4,-,1.4,-,6.66,"João GomesFlamengo, 21, DMC"
136,  ,4(1),251.0,0.8,0.4,-,-,0.4,0.2,-,-,6.66,"Óscar RuizJuventude, 31, Forward",  ,11(2),1003.0,2.4,1.1,0.8,-,0.6,1.5,0.1,-,6.72,"MarianoAtletico MG, 36, D(R),M(R)",  ,10,723.0,3,1,2,1.1,0.3,0.4,0.4,1.1,1.6,6.81,"Alef MangaCoritiba, 27, AM(R)",  ,4(1),251.0,1,-,0.4,0.4,0.4,1.4,-,0.6,1.8,6.66,"Óscar RuizJuventude, 31, Forward",  ,11(2),1003.0,-,1,-,1.4,0.3,0.5,-,0.1,0.6,6.72,"MarianoAtletico MG, 36, D(R),M(R)",  ,10,723.0,1,1.1,18.5,75.7,0.3,1.1,-,6.81,"Alef MangaCoritiba, 27, AM(R)",  ,4(1),251.0,-,0.4,10.2,68.6,-,0.2,-,6.66,"Óscar RuizJuventude, 31, Forward"
137,  ,10,830.0,1.8,1.3,1.1,-,2.3,1.4,1,-,6.65,"RanieleAvai FC, 25, DMC",  ,15(2),1231.0,1.1,0.8,1.4,-,0.4,1.1,0.1,-,6.72,"Rodrigo NestorSao Paulo, 22, DMC",  ,4(1),248.0,1,2,1.2,1.2,0.4,2,-,1.2,2.4,6.81,"Alan PatrickInternacional, 31, M(CLR)",  ,10,830.0,-,-,0.9,0.1,0.8,1.9,-,0.6,1.2,6.65,"RanieleAvai FC, 25, DMC",  ,15(2),1231.0,3,1,2.3,1.1,0.6,0.8,0.1,1,1.5,6.72,"Rodrigo NestorSao Paulo, 22, DMC",  ,4(1),248.0,2,1.2,20.2,85.1,-,0.8,0.4,6.81,"Alan PatrickInternacional, 31, M(CLR)",  ,10,830.0,-,0.1,39.7,78.1,-,2.6,0.1,6.65,"RanieleAvai FC, 25, DMC"
138,  ,8(1),630.0,1.2,0.2,0.7,-,0.8,1,0.2,-,6.65,"LimaCeara, 26, AM(CLR)",  ,8(8),803.0,0.7,0.5,0.9,0.1,0.4,1.1,-,-,6.72,"PedrinhoAmerica MG, 22, AM(CL)",  ,5(2),396.0,1,-,1.6,1.4,0.3,1.1,0.6,0.7,1.4,6.8,"PabloAthletico Paranaense, 30, AM(CLR),FW",  ,8(1),630.0,-,-,1.4,1,1.2,1.7,0.1,1.6,0.7,6.65,"LimaCeara, 26, AM(CLR)",  ,8(8),803.0,3,2,1.8,1.1,1.8,0.5,0.3,1.4,1.8,6.72,"PedrinhoAmerica MG, 22, AM(CL)",  ,5(2),396.0,-,1.4,16.3,75.4,-,1,-,6.8,"PabloAthletico Paranaense, 30, AM(CLR),FW",  ,8(1),630.0,-,1,31.0,88.5,0.7,1.1,-,6.65,"LimaCeara, 26, AM(CLR)"
139,  ,8,690.0,3.6,1.1,2.3,-,2.1,2.6,0.6,-,6.65,"Bruno SilvaAvai FC, 36, M(CR)",  ,18(2),1453.0,0.2,-,0.6,-,0.4,0.2,0.1,-,6.71,"Róger GuedesCorinthians, 25, AM(CLR),FW",  ,5(2),391.0,2,-,0.9,0.4,-,0.6,-,0.1,0.3,6.8,"YtaloRed Bull Bragantino, 34, AM(C),FW",  ,8,690.0,-,-,0.1,0.8,0.9,1.3,0.1,0.8,0.8,6.65,"Bruno SilvaAvai FC, 36, M(CR)",  ,18(2),1453.0,6,1,2.1,0.8,0.7,1.6,0.4,0.7,2.2,6.71,"Róger GuedesCorinthians, 25, AM(CLR),FW",  ,5(2),391.0,-,0.4,9.3,86.2,0.1,0.4,-,6.8,"YtaloRed Bull Bragantino, 34, AM(C),FW",  ,8,690.0,-,0.8,49.6,85.1,-,2.8,-,6.65,"Bruno SilvaAvai FC, 36, M(CR)"
140,  ,6,446.0,1.5,0.7,1,0.2,1.3,1.3,0.2,-,6.65,"Luis OrejuelaAthletico Paranaense, 26, D(R)",  ,15,1293.0,1.2,1.5,0.9,0.9,3.7,0.5,0.6,-,6.71,"KanuBotafogo RJ, 25, D(C)",  ,4(2),379.0,-,-,0.7,1.7,0.8,1.7,-,0.8,0.8,6.79,"NonatoFluminense, 24, M(C)",  ,6,446.0,-,1,-,0.3,1,1.3,-,0.5,1.3,6.65,"Luis OrejuelaAthletico Paranaense, 26, D(R)",  ,15,1293.0,-,-,0.4,0.1,0.3,0.7,-,0.3,0.2,6.71,"KanuBotafogo RJ, 25, D(C)",  ,4(2),379.0,-,1.7,49.7,87.2,1.3,1.3,-,6.79,"NonatoFluminense, 24, M(C)",  ,6,446.0,1,0.3,23.7,73.9,0.3,1.5,-,6.65,"Luis OrejuelaAthletico Paranaense, 26, D(R)"
141,  ,8,720.0,-,-,-,-,1.6,0.1,-,-,6.65,"CássioCorinthians, 35, GK",  ,12,1080.0,-,0.1,0.1,-,1.3,-,-,-,6.71,"Marcelo BoeckFortaleza, 37, GK",  ,11,990.0,-,-,-,0.2,-,0.5,-,-,-,6.79,"CleitonRed Bull Bragantino, 24, GK",  ,8,720.0,-,-,-,-,-,0.1,-,-,0.1,6.65,"CássioCorinthians, 35, GK",  ,12,1080.0,-,-,-,-,-,0.3,-,-,-,6.71,"Marcelo BoeckFortaleza, 37, GK",  ,11,990.0,-,0.2,31.5,67.1,-,8.5,-,6.79,"CleitonRed Bull Bragantino, 24, GK",  ,8,720.0,-,-,25.1,64.7,-,8.1,-,6.65,"CássioCorinthians, 35, GK"
142,  ,2(3),250.0,1,-,0.6,-,-,0.2,-,-,6.64,"TaisonInternacional, 34, AM(CL),FW",  ,8(2),784.0,0.6,1.7,1.1,0.2,5.1,0.2,1.1,-,6.71,"Paulo MirandaJuventude, 34, D(CR)",  ,7(3),548.0,2,1,1.3,1,1,0.9,0.1,0.7,1.4,6.79,"AirtonAtletico GO, 23, AM(R)",  ,2(3),250.0,-,1,0.8,1.4,1,1.2,-,0.4,0.8,6.64,"TaisonInternacional, 34, AM(CL),FW",  ,8(2),784.0,-,-,0.7,0.1,-,0.4,-,0.1,0.5,6.71,"Paulo MirandaJuventude, 34, D(CR)",  ,7(3),548.0,1,1,12.5,66.4,0.6,-,-,6.79,"AirtonAtletico GO, 23, AM(R)",  ,2(3),250.0,1,1.4,27.2,89.7,0.6,0.8,-,6.64,"TaisonInternacional, 34, AM(CL),FW"
143,  ,8(1),668.0,3,0.8,1.2,0.3,1.2,0.8,0.3,-,6.64,"AyrtonFlamengo, 25, D(L),M(L)",  ,14(1),1244.0,2.1,2,1.7,0.1,0.9,1.4,0.2,-,6.71,"Hugo MouraAthletico Paranaense, 24, DMC",  ,4(2),370.0,-,-,1.2,2.3,2.2,2,-,1.3,1.5,6.79,"MatheusinhoAmerica MG, 24, AM(CR)",  ,8(1),668.0,-,-,0.2,0.7,1,1.4,-,1.2,0.8,6.64,"AyrtonFlamengo, 25, D(L),M(L)",  ,14(1),1244.0,1,-,1.1,0.5,0.5,1.1,0.1,0.5,0.9,6.71,"Hugo MouraAthletico Paranaense, 24, DMC",  ,4(2),370.0,-,2.3,24.3,79.5,0.5,1.5,-,6.79,"MatheusinhoAmerica MG, 24, AM(CR)",  ,8(1),668.0,-,0.7,30.4,77.4,0.2,1.4,-,6.64,"AyrtonFlamengo, 25, D(L),M(L)"
144,  ,5(2),432.0,1.9,0.9,1,-,0.4,0.4,-,-,6.64,"Igor ViniciusSao Paulo, 25, D(R),M(R)",  ,8(6),791.0,1.3,0.4,0.9,-,0.2,0.4,-,-,6.7,"Matheus MartinsFluminense, 19, Midfielder",  ,6,540.0,-,-,0.3,0.3,-,0.2,-,0.2,0.2,6.79,"WandersonAtletico GO, 31, D(C)",  ,5(2),432.0,-,1,0.4,0.6,0.6,0.7,-,0.6,1.6,6.64,"Igor ViniciusSao Paulo, 25, D(R),M(R)",  ,8(6),791.0,2,1,1.3,0.9,1,1.6,0.2,1,1.6,6.7,"Matheus MartinsFluminense, 19, Midfielder",  ,6,540.0,-,0.3,42.7,85.9,-,2.8,-,6.79,"WandersonAtletico GO, 31, D(C)",  ,5(2),432.0,1,0.6,23.6,77.6,0.3,0.7,-,6.64,"Igor ViniciusSao Paulo, 25, D(R),M(R)"
145,  ,9,810.0,-,0.1,-,-,1.2,-,-,-,6.63,"JandreiSao Paulo, 29, GK",  ,10(4),921.0,0.8,1.2,0.9,0.1,1.3,0.5,0.7,-,6.7,"Willian ArãoFlamengo, 30, D(C),M(C)",  ,9,808.0,-,-,0.8,0.8,1.1,1.2,-,0.1,1.2,6.78,"Willian FariasCoritiba, 33, DMC",  ,9,810.0,-,-,-,0.1,-,0.1,-,-,-,6.63,"JandreiSao Paulo, 29, GK",  ,10(4),921.0,2,-,0.9,0.5,0.2,0.4,-,0.1,0.3,6.7,"Willian ArãoFlamengo, 30, D(C),M(C)",  ,9,808.0,-,0.8,41.4,86.3,-,3.8,-,6.78,"Willian FariasCoritiba, 33, DMC",  ,9,810.0,-,0.1,36.6,64.7,-,9.6,-,6.63,"JandreiSao Paulo, 29, GK"
146,  ,8(1),733.0,1.9,0.7,1.2,0.2,1.6,0.6,0.6,-,6.63,"MatheuzinhoFlamengo, 21, D(R)",  ,7(7),562.0,1.1,0.3,0.3,0.1,0.2,0.4,-,-,6.7,"Fabrício DanielCoritiba, 25, AM(CR),FW",  ,6,480.0,2,2,1.2,1.8,0.3,1.3,-,0.8,1.2,6.78,"ÉlvisGoias, 31, AM(C)",  ,8(1),733.0,-,-,0.3,1.1,0.7,0.2,-,0.2,1,6.63,"MatheuzinhoFlamengo, 21, D(R)",  ,7(7),562.0,-,2,1.2,0.5,2.1,1.4,-,0.8,1,6.7,"Fabrício DanielCoritiba, 25, AM(CR),FW",  ,6,480.0,2,1.8,39.5,80.2,1.8,4.2,0.2,6.78,"ÉlvisGoias, 31, AM(C)",  ,8(1),733.0,-,1.1,39.4,87.3,0.4,3,-,6.63,"MatheuzinhoFlamengo, 21, D(R)"
147,  ,5(3),432.0,0.3,0.5,0.6,-,-,0.3,-,-,6.63,"Eduardo SashaAtletico MG, 30, AM(CLR),FW",  ,7(10),798.0,1.2,0.3,1.2,0.1,0.5,0.4,-,-,6.7,"Pedro HenriqueInternacional, 32, AM(LR),FW",  ,11,912.0,-,-,0.6,1.7,0.3,0.8,-,0.4,0.6,6.78,"KevinAvai FC, 24, D(R),M(R)",  ,5(3),432.0,2,-,1.9,0.5,0.4,0.8,0.3,0.3,1.3,6.63,"Eduardo SashaAtletico MG, 30, AM(CLR),FW",  ,7(10),798.0,3,1,1.8,0.8,0.9,1.4,0.4,1,1.1,6.7,"Pedro HenriqueInternacional, 32, AM(LR),FW",  ,11,912.0,-,1.7,52.1,82.7,1.3,2,-,6.78,"KevinAvai FC, 24, D(R),M(R)",  ,5(3),432.0,-,0.5,16.8,84.3,-,-,0.1,6.63,"Eduardo SashaAtletico MG, 30, AM(CLR),FW"
